app,permission
com.mcdonalds.app.apk,plus/Plus
com.mcdonalds.app.apk,plus/Plus
com.mcdonalds.app.apk,location/LocationServices
com.mcdonalds.app.apk,location/LocationServices
com.mercariapp.mercari.apk,plus/Plus
com.mercariapp.mercari.apk,appinvite/AppInvite
com.move.realtor.apk,search/SearchAuth
com.myfitnesspal.android.apk,location/LocationServices
com.myfitnesspal.android.apk,appindexing/AppIndex
com.myyearbook.m.apk,appindexing/AppIndex
com.myyearbook.m.apk,location/LocationServices
com.myyearbook.m.apk,location/LocationServices
com.naver.linewebtoon.apk,appindexing/AppIndex
com.nyctrans.it,appindexing/AppIndex
com.nyctrans.it,appindexing/AppIndex
com.nyctrans.it,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.offerup.apk,location/LocationServices
com.oovoo.apk,location/LocationServices
com.oovoo.apk,location/LocationServices
com.oovoo.apk,plus/Plus
com.pandora.android.apk,wearable/Wearable
com.pandora.android.apk,appindexing/AppIndex
com.pandora.android.apk,cast/Cast
com.pandora.android.apk,location/LocationServices
com.paypal.android.p2pmobile.apk,safetynet/SafetyNet
com.paypal.android.p2pmobile.apk,location/LocationServices
com.picsart.studio.apk,wearable/Wearable
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,plus/Plus
com.picsart.studio.apk,plus/Plus
com.picsart.studio.apk,location/LocationServices
com.picsart.studio.apk,location/LocationServices
com.picsart.studio.apk,drive/Drive
com.picsart.studio.apk,location/LocationServices
com.pinterest.apk,plus/Plus
com.pinterest.apk,appindexing/AppIndex
com.pinterest.apk,wallet/Wallet
com.poshmark.app.apk,wallet/Wallet
com.poshmark.app.apk,plus/Plus
com.poshmark.app.apk,wallet/Wallet
com.quanticapps.quranandroid.apk,location/LocationServices
com.quanticapps.quranandroid.apk,location/LocationServices
com.rhapsody,location/LocationServices
com.smule.singandroid.apk,plus/Plus
com.southwestairlines.mobile,wearable/Wearable
com.southwestairlines.mobile,wearable/Wearable
com.sparkpeople.androidtracker.apk,appinvite/AppInvite
com.squareup.apk,safetynet/SafetyNet
com.tinder.apk,location/LocationServices
com.tumblr.apk,location/ActivityRecognition
com.tumblr.apk,location/ActivityRecognition
com.tumblr.apk,location/LocationServices
com.tumblr.apk,location/LocationServices
com.urbandroid.sleep,location/LocationServices
com.urbandroid.sleep,wearable/Wearable
com.urbandroid.sleep,wearable/Wearable
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usablenet.mobile.walgreen.apk,location/LocationServices
com.usatoday.android.news,location/LocationServices
com.usatoday.android.news,appindexing/AppIndex
com.usatoday.android.news,wearable/Wearable
com.usatoday.android.news,location/LocationServices
com.usatoday.android.news,location/LocationServices
com.walmart.android.apk,appindexing/AppIndex
com.walmart.android.apk,location/LocationServices
com.walmart.android.apk,location/LocationServices
com.walmart.android.apk,location/LocationServices
com.waze.apk,location/ActivityRecognition
com.waze.apk,plus/Plus
com.waze.apk,location/reporting/ReportingServices
com.waze.apk,location/ActivityRecognition
com.waze.apk,location/LocationServices
com.weather.Weather.apk,location/LocationServices
com.weather.Weather.apk,plus/Plus
com.weather.Weather.apk,location/LocationServices
com.whatsapp,location/LocationServices
com.whatsapp,location/LocationServices
com.whatsapp,wearable/Wearable
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.wunderground.android.weather.apk,location/LocationServices
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,location/LocationServices
com.zillow.android.zillowmap.apk,wearable/Wearable
com.zillow.android.zillowmap.apk,panorama/Panorama
net.zedge.android.apk,wearable/Wearable
org.mozilla.firefox,cast/Cast
org.mozilla.firefox,cast/Cast
tunein.player.apk,wearable/Wearable
tunein.player.apk,plus/Plus
tunein.player.apk,cast/Cast
wp.wattpad.apk,location/LocationServices
